AnO,MES,PROVINCIA_DESTINO,CONTINENTE_ORIGEN,PAIS_ORIGEN,TURISTAS,PERNOCTACIONES,ESTANCIA_MEDIA.
2023,11,Cadiz,America,Argentina,354,2301,6.5
2023,11,Cordoba,America,Argentina,57,479,8.4
2023,11,Gipuzkoa,America,Argentina,206,1524,7.4
2023,11,Girona,America,Argentina,224,1926,8.6
2023,11,Granada,America,Argentina,274,2329,8.5
2023,11,Guadalajara,America,Argentina,77,454,5.9
2023,11,Huelva,America,Argentina,34,371,10.9
2023,11,Huesca,America,Argentina,48,442,9.2
2023,11,Illes Balears,America,Argentina,798,7741,9.7
2023,11,Jaen,America,Argentina,34,224,6.6
2023,11,La Rioja,America,Argentina,44,458,10.4
2023,11,Las Palmas,America,Argentina,229,1832,8
2023,11,Leon,America,Argentina,58,586,10.1
2023,11,Lleida,America,Argentina,132,898,6.8
2023,11,Lugo,America,Argentina,58,580,10
2023,11,Madrid,America,Argentina,10102,59602,5.9
2023,11,Murcia,America,Argentina,90,846,9.4
2023,11,Malaga,America,Argentina,1284,13482,10.5
2023,11,Navarra,America,Argentina,94,743,7.9
2023,11,Ourense,America,Argentina,51,510,10
2023,11,Pontevedra,America,Argentina,198,2039,10.3
2023,11,Salamanca,America,Argentina,76,600,7.9
2023,11,Santa Cruz de Tenerife,America,Argentina,218,1657,7.6
2023,11,Segovia,America,Argentina,41,213,5.2
2023,11,Sevilla,America,Argentina,362,3222,8.9
2023,11,Soria,America,Argentina,37,255,6.9
2023,11,Tarragona,America,Argentina,267,2109,7.9
2023,11,Toledo,America,Argentina,128,717,5.6
2023,11,Total Nacional,America,Argentina,24771,178809,7.2
2023,11,Valencia/València,America,Argentina,1077,10232,9.5
2023,11,Valladolid,America,Argentina,45,315,7
2023,11,Zaragoza,America,Argentina,126,1121,8.9
2023,12,A Coruna,America,Argentina,339,2915,8.6
2023,12,Alicante/Alacant,America,Argentina,1036,8702,8.4
2023,12,Almeria,America,Argentina,181,1376,7.6
